transaction_id,transaction_date,year,month,year_month,customer_id,region,category,product,quantity,unit_price,discount,sales,cost,profit,profit_margin,payment_method,sales_channel,returned
TXN-000027,2024-01-03,2024,1,2024-01,CUST-00768,North,Electronics,Tablet,7,426.06,0.0249,2908.16,2437.58,470.58,0.1618,Upi,Store,No
TXN-000028,2025-01-20,2025,1,2025-01,CUST-00033,East,Electronics,Monitor,12,274.76,0.0795,3035.0,2591.95,443.05,0.146,Debit Card,Online,No
TXN-000029,2024-05-12,2024,5,2024-05,CUST-00993,East,Electronics,Headphones,8,98.67,0.075,730.16,543.98,186.18,0.255,Debit Card,Online,No
TXN-000030,2024-02-09,2024,2,2024-02,CUST-02013,North,Furniture,Bookshelf,14,164.62,0.35,1498.04,1708.0,-209.96,-0.1402,Cash,Store,No
TXN-000031,2024-02-15,2024,2,2024-02,CUST-00229,West,Office Supplies,Paper Pack,6,10.04,0.0903,54.8,48.21,6.59,0.1203,Bank Transfer,Store,No
TXN-000032,2023-07-27,2023,7,2023-07,UNKNOWN,South,Accessories,USB Hub,11,34.34,0.1247,330.64,295.71,34.93,0.1056,Upi,Online,No
TXN-000033,2023-03-26,2023,3,2023-03,CUST-01040,South,Electronics,Printer,12,252.08,0.1626,2533.1,2349.91,183.19,0.0723,Debit Card,Marketplace,No
TXN-000034,2024-05-20,2024,5,2024-05,CUST-02264,North,Electronics,Monitor,13,282.05,0.0236,3580.12,2128.67,1451.45,0.4054,Bank Transfer,Online,No
TXN-000035,2025-03-20,2025,3,2025-03,CUST-01122,West,Electronics,Tablet,6,371.16,0.1223,1954.6,1735.8,218.8,0.1119,Credit Card,Store,Yes
TXN-000036,2023-02-28,2023,2,2023-02,CUST-01305,East,Electronics,Printer,5,211.48,0.0574,996.71,874.9,121.81,0.1222,Upi,Store,Yes
TXN-000037,2025-02-21,2025,2,2025-02,CUST-01143,South,Office Supplies,Paper Pack,1,10.99,0.0447,10.5,6.18,4.32,0.4114,Upi,Online,No
TXN-000038,2025-01-24,2025,1,2025-01,CUST-01703,West,Electronics,Monitor,9,251.02,0.1421,1938.15,1444.47,493.68,0.2547,Credit Card,Online,No
TXN-000039,2023-09-10,2023,9,2023-09,CUST-00178,South,Accessories,Keyboard,8,63.8,0.0128,503.87,426.67,77.2,0.1532,Debit Card,Store,No
TXN-000040,2024-07-30,2024,7,2024-07,CUST-00124,West,Accessories,Webcam,6,75.37,0.1004,406.82,302.52,104.3,0.2564,Bank Transfer,Marketplace,Yes
TXN-000041,2023-05-31,2023,5,2023-05,CUST-01456,East,Furniture,Bookshelf,4,131.76,0.2482,396.23,350.78,45.45,0.1147,Bank Transfer,Online,No
TXN-000042,2024-11-22,2024,11,2024-11,CUST-00986,West,Accessories,USB Hub,13,32.86,0.1334,370.19,313.59,56.6,0.1529,Cash,Online,No
TXN-000043,2024-09-30,2024,9,2024-09,CUST-00419,West,Office Supplies,Paper Pack,14,12.0,0.1001,151.18,119.6,31.58,0.2089,Upi,Store,No
TXN-000044,2023-11-20,2023,11,2023-11,CUST-01927,West,Accessories,Webcam,14,68.52,0.3492,624.3,773.7,-149.4,-0.2393,Cash,Online,No
TXN-000045,2023-03-03,2023,3,2023-03,CUST-01874,North,Electronics,Laptop,7,871.3,0.1089,5434.91,3408.02,2026.89,0.3729,Cash,Online,No
TXN-000046,2025-06-04,2025,6,2025-06,CUST-00273,West,Accessories,Desk Lamp,11,42.21,0.0626,435.24,354.48,80.76,0.1856,Bank Transfer,Marketplace,No
TXN-000047,2024-02-11,2024,2,2024-02,CUST-00461,West,Electronics,Monitor,12,252.38,0.1137,2684.21,2041.46,642.75,0.2395,Credit Card,Online,No
TXN-000048,2025-03-25,2025,3,2025-03,CUST-01956,East,Furniture,Desk,11,299.88,0.2334,2528.77,2279.41,249.36,0.0986,Bank Transfer,Marketplace,No
TXN-000049,2024-09-10,2024,9,2024-09,CUST-01196,South,Accessories,Mouse,5,24.26,0.2348,92.82,85.28,7.54,0.0812,Upi,Online,Yes
TXN-000050,2024-12-10,2024,12,2024-12,CUST-00771,West,Furniture,Desk,13,338.02,0.1178,3876.62,3507.09,369.53,0.0953,Debit Card,Online,No
TXN-000051,2024-11-24,2024,11,2024-11,CUST-01324,North,Electronics,Printer,10,214.99,0.1512,1824.84,1557.54,267.3,0.1465,Credit Card,Online,No
TXN-000052,2023-06-27,2023,6,2023-06,CUST-00883,South,Electronics,Tablet,2,396.44,0.2326,608.46,496.78,111.68,0.1835,Credit Card,Store,No
TXN-000053,2023-11-28,2023,11,2023-11,CUST-00235,East,Electronics,Headphones,3,103.61,0.1043,278.41,201.9,76.51,0.2748,Credit Card,Marketplace,No
TXN-000054,2024-03-01,2024,3,2024-03,CUST-01619,North,Furniture,Bookshelf,7,162.76,0.079,1049.31,923.25,126.06,0.1201,Cash,Online,No
TXN-000055,2024-03-29,2024,3,2024-03,CUST-01741,East,Furniture,Desk,14,319.97,0.1473,3819.74,3013.3,806.44,0.2111,Bank Transfer,Online,No
TXN-000056,2023-02-09,2023,2,2023-02,CUST-00196,North,Office Supplies,Stapler,11,8.81,0.1198,85.3,75.31,9.99,0.1171,Bank Transfer,Online,No
TXN-000057,2024-05-13,2024,5,2024-05,CUST-00624,East,Accessories,Keyboard,10,62.76,0.1409,539.17,466.95,72.22,0.1339,Cash,Store,No
TXN-000058,2023-05-21,2023,5,2023-05,CUST-01562,West,Electronics,Headphones,9,107.21,0.1288,840.61,616.57,224.04,0.2665,Debit Card,Online,No
TXN-000059,2024-11-08,2024,11,2024-11,CUST-01894,South,Accessories,Desk Lamp,13,39.55,0.0739,476.15,312.64,163.51,0.3434,Upi,Marketplace,No
TXN-000060,2024-09-14,2024,9,2024-09,CUST-02285,East,Office Supplies,Notebook,8,8.76,0.1247,61.34,53.54,7.8,0.1272,Bank Transfer,Store,No
TXN-000061,2025-04-21,2025,4,2025-04,CUST-01510,North,Office Supplies,Notebook,6,9.1,0.0465,52.06,38.83,13.23,0.2541,Debit Card,Online,No
TXN-000062,2024-11-10,2024,11,2024-11,CUST-00235,West,Office Supplies,Stapler,6,9.47,0.1831,46.42,44.34,2.08,0.0448,Bank Transfer,Online,No
TXN-000063,2023-12-01,2023,12,2023-12,CUST-00882,West,Accessories,Mouse,8,24.07,0.1483,164.0,149.12,14.88,0.0907,Cash,Store,No
TXN-000064,2025-06-01,2025,6,2025-06,CUST-00633,North,Electronics,Headphones,4,92.37,0.0869,337.37,243.53,93.84,0.2782,Upi,Store,No
TXN-000065,2024-01-10,2024,1,2024-01,CUST-02470,East,Office Supplies,Paper Pack,14,13.64,0.0666,178.24,164.11,14.13,0.0793,Cash,Online,No
TXN-000066,2023-10-25,2023,10,2023-10,CUST-00035,South,Accessories,Webcam,13,74.68,0.2608,717.64,812.23,-94.59,-0.1318,Debit Card,Online,No
TXN-000067,2025-04-05,2025,4,2025-04,CUST-00939,East,Electronics,Stapler,6,9.39,0.2601,41.69,38.84,2.85,0.0684,Bank Transfer,Marketplace,No
TXN-000068,2023-12-04,2023,12,2023-12,CUST-01295,East,Electronics,Monitor,11,308.52,0.35,2205.92,2237.43,-31.51,-0.0143,Upi,Online,No
TXN-000069,2023-03-11,2023,3,2023-03,CUST-00749,North,Office Supplies,Folders,11,5.52,0.0226,59.35,41.59,17.76,0.2992,Credit Card,Store,No
TXN-000070,2024-03-04,2024,3,2024-03,UNKNOWN,East,Office Supplies,Folders,9,5.96,0.0343,51.8,31.8,20.0,0.3861,Debit Card,Online,No
TXN-000071,2024-12-26,2024,12,2024-12,CUST-00329,North,Electronics,Monitor,2,263.95,0.0201,517.29,388.48,128.81,0.249,Upi,Online,No
TXN-000072,2023-06-22,2023,6,2023-06,CUST-02316,South,Office Supplies,Stapler,2,8.85,0.2283,13.66,14.84,-1.18,-0.0864,Cash,Online,No
TXN-000073,2024-02-27,2024,2,2024-02,CUST-01001,West,Accessories,USB Hub,11,29.85,0.1686,272.99,200.35,72.64,0.2661,Debit Card,Online,No
TXN-000074,2023-04-29,2023,4,2023-04,CUST-00921,North,Furniture,Desk,2,345.7,0.1223,606.84,533.3,73.54,0.1212,Upi,Marketplace,No
TXN-000075,2024-09-18,2024,9,2024-09,CUST-02309,East,Electronics,Printer,12,197.38,0.1656,1976.33,1747.79,228.54,0.1156,Bank Transfer,Online,No
TXN-000076,2024-03-09,2024,3,2024-03,CUST-00372,North,Office Supplies,Paper Pack,7,11.26,0.1497,67.02,47.48,19.54,0.2916,Upi,Store,No
TXN-000077,2023-10-29,2023,10,2023-10,CUST-01173,West,Office Supplies,Paper Pack,12,11.66,0.0428,133.93,98.69,35.24,0.2631,Cash,Online,No
TXN-000078,2023-07-26,2023,7,2023-07,CUST-00073,East,Furniture,Cabinet,2,225.76,0.1558,381.17,385.8,-4.63,-0.0121,Cash,Online,No
TXN-000079,2024-05-29,2024,5,2024-05,CUST-01279,South,Office Supplies,Notebook,6,7.92,0.1681,39.53,30.62,8.91,0.2254,Bank Transfer,Marketplace,No
TXN-000080,2024-09-02,2024,9,2024-09,CUST-00813,North,Furniture,Conference Table,3,646.26,0.0811,1781.54,1639.76,141.78,0.0796,Cash,Store,No
TXN-000081,2025-05-07,2025,5,2025-05,CUST-01851,South,Accessories,Keyboard,7,60.14,0.1818,344.45,296.81,47.64,0.1383,Upi,Marketplace,No
TXN-000082,2024-02-03,2024,2,2024-02,CUST-01281,West,Office Supplies,Pens,2,3.92,0.1759,6.46,6.53,-0.07,-0.0108,Upi,Online,No
TXN-000083,2023-05-27,2023,5,2023-05,CUST-01564,South,Accessories,USB Hub,4,33.33,0.0735,123.52,112.77,10.75,0.087,Bank Transfer,Store,No
TXN-000084,2025-01-29,2025,1,2025-01,CUST-02252,South,Furniture,Conference Table,5,593.84,0.1201,2612.6,1964.37,648.23,0.2481,Credit Card,Online,No
TXN-000085,2024-07-28,2024,7,2024-07,CUST-02377,East,Electronics,Headphones,8,88.21,0.1097,628.27,547.68,80.59,0.1283,Debit Card,Online,No
TXN-000086,2024-09-30,2024,9,2024-09,CUST-00542,South,Office Supplies,Paper Pack,1,11.97,0.1019,10.75,9.02,1.73,0.1609,Credit Card,Store,No
TXN-000087,2023-03-30,2023,3,2023-03,CUST-01256,North,Electronics,Headphones,5,87.81,0.35,285.38,318.92,-33.54,-0.1175,Cash,Store,No
TXN-000088,2023-10-12,2023,10,2023-10,CUST-01954,South,Furniture,Desk,11,94.29,0.19,840.12,2563.85,-1723.73,-2.0518,Cash,Online,No
TXN-000089,2024-12-01,2024,12,2024-12,CUST-00319,North,Electronics,Tablet,6,424.3,0.1353,2201.35,1852.49,348.86,0.1585,Cash,Online,Yes
TXN-000090,2025-01-29,2025,1,2025-01,CUST-01203,East,Furniture,Cabinet,9,220.1,0.1655,1653.06,1152.29,500.77,0.3029,Upi,Store,No
TXN-000091,2024-02-01,2024,2,2024-02,CUST-01393,West,Office Supplies,Pens,13,4.23,0.0899,50.05,42.78,7.27,0.1453,Cash,Store,No
TXN-000092,2025-01-03,2025,1,2025-01,CUST-02169,West,Furniture,Office Chair,8,162.26,0.1571,1094.15,1090.46,3.69,0.0034,Credit Card,Online,No
TXN-000093,2025-02-06,2025,2,2025-02,CUST-00221,West,Furniture,Office Chair,13,169.75,0.0351,2129.29,1416.76,712.53,0.3346,Debit Card,Store,No
TXN-000094,2023-12-20,2023,12,2023-12,CUST-02158,South,Electronics,Laptop,14,878.82,0.029,11946.68,8383.3,3563.38,0.2983,Upi,Online,No
TXN-000095,2025-03-30,2025,3,2025-03,CUST-00595,South,Furniture,Office Chair,8,181.95,0.2941,1027.51,929.51,98.0,0.0954,Upi,Store,Yes
TXN-000096,2023-09-20,2023,9,2023-09,CUST-02145,East,Furniture,Cabinet,7,249.3,0.1185,1538.31,1179.61,358.7,0.2332,Cash,Marketplace,No
TXN-000097,2023-08-07,2023,8,2023-08,CUST-01637,West,Accessories,Mouse,5,19.54,0.137,84.32,64.93,19.39,0.23,Debit Card,Online,No
TXN-000098,2024-09-14,2024,9,2024-09,CUST-01004,East,Accessories,Keyboard,13,58.6,0.2452,575.01,650.34,-75.33,-0.131,Bank Transfer,Online,No
TXN-000099,2024-08-03,2024,8,2024-08,CUST-00335,South,Accessories,Keyboard,11,52.61,0.0203,566.96,322.05,244.91,0.432,Cash,Store,No
TXN-000100,2023-05-08,2023,5,2023-05,CUST-00866,East,Electronics,Laptop,3,770.42,0.0923,2097.93,1758.71,339.22,0.1617,Upi,Online,No
TXN-000101,2025-01-29,2025,1,2025-01,CUST-01850,West,Electronics,Printer,10,181.05,0.088,1651.18,1427.53,223.65,0.1354,Bank Transfer,Online,No
TXN-000102,2023-07-02,2023,7,2023-07,CUST-00519,West,Furniture,Office Chair,4,172.0,0.239,523.57,412.84,110.73,0.2115,Debit Card,Store,No
TXN-000103,2025-01-04,2025,1,2025-01,CUST-01675,West,Office Supplies,Notebook,14,9.02,0.1754,104.13,90.16,13.97,0.1342,Credit Card,Marketplace,No
TXN-000104,2023-01-07,2023,1,2023-01,CUST-00572,South,Office Supplies,Paper Pack,5,12.93,0.3364,42.9,42.11,0.79,0.0184,Credit Card,Online,No
TXN-000105,2024-12-27,2024,12,2024-12,CUST-00203,South,Office Supplies,Notebook,2,9.05,0.0473,17.24,11.14,6.1,0.3538,Upi,Store,No
TXN-000106,2024-12-18,2024,12,2024-12,CUST-01541,South,Furniture,Desk,14,317.09,0.1348,3840.85,2960.97,879.88,0.2291,Upi,Marketplace,No
TXN-000107,2024-12-12,2024,12,2024-12,CUST-02032,South,Office Supplies,Notebook,9,8.07,0.1819,59.42,43.27,16.15,0.2718,Bank Transfer,Marketplace,No
TXN-000108,2024-08-29,2024,8,2024-08,CUST-02405,West,Accessories,Keyboard,13,48.05,0.2883,444.56,493.14,-48.58,-0.1093,Debit Card,Online,No
TXN-000109,2024-03-06,2024,3,2024-03,UNKNOWN,South,Electronics,Laptop,13,742.6,0.2442,7296.34,5354.88,1941.46,0.2661,Credit Card,Store,No
TXN-000110,2024-10-05,2024,10,2024-10,CUST-01515,South,Accessories,Desk Lamp,7,44.47,0.141,267.4,244.85,22.55,0.0843,Bank Transfer,Online,No
TXN-000111,2023-09-10,2023,9,2023-09,CUST-01704,South,Office Supplies,Stapler,7,8.01,0.2129,44.13,32.2,11.93,0.2703,Bank Transfer,Online,No
TXN-000112,2024-12-13,2024,12,2024-12,CUST-01031,East,Electronics,Headphones,12,88.49,0.1786,872.23,729.75,142.48,0.1634,Cash,Marketplace,Yes
TXN-000113,2024-05-21,2024,5,2024-05,CUST-00091,East,Accessories,Webcam,6,70.24,0.0673,393.08,265.98,127.1,0.3233,Credit Card,Online,No
TXN-000114,2024-02-23,2024,2,2024-02,CUST-00607,North,Accessories,USB Hub,4,38.56,0.0749,142.69,115.35,27.34,0.1916,Credit Card,Online,No
TXN-000115,2024-04-06,2024,4,2024-04,CUST-00948,West,Office Supplies,Folders,8,6.0,0.0663,44.82,40.78,4.04,0.0901,Bank Transfer,Online,No
TXN-000116,2024-06-02,2024,6,2024-06,CUST-01630,South,Electronics,Laptop,9,757.5,0.0472,6495.71,4178.54,2317.17,0.3567,Debit Card,Store,No
TXN-000117,2023-02-03,2023,2,2023-02,CUST-00763,South,Electronics,Tablet,12,358.79,0.086,3935.21,3234.62,700.59,0.178,Credit Card,Marketplace,No
TXN-000118,2023-05-08,2023,5,2023-05,CUST-00528,North,Office Supplies,Notebook,3,8.08,0.1695,20.13,17.03,3.1,0.154,Credit Card,Online,No
TXN-000119,2023-08-12,2023,8,2023-08,CUST-02264,East,Electronics,Tablet,7,398.86,0.2182,2182.8,2210.53,-27.73,-0.0127,Credit Card,Online,No
TXN-000120,2023-04-15,2023,4,2023-04,CUST-00234,East,Electronics,Printer,9,211.95,0.0615,1790.24,1374.88,415.36,0.232,Debit Card,Store,No
TXN-000121,2024-02-05,2024,2,2024-02,CUST-01971,West,Furniture,Cabinet,14,226.24,0.2544,2361.58,2204.5,157.08,0.0665,Cash,Online,No
TXN-000122,2024-09-01,2024,9,2024-09,CUST-00234,North,Electronics,Headphones,4,94.46,0.1218,331.82,303.23,28.59,0.0862,Debit Card,Store,No
TXN-000123,2024-08-19,2024,8,2024-08,CUST-00802,West,Office Supplies,Notebook,9,8.77,0.0833,72.36,66.79,5.57,0.077,Debit Card,Store,No
TXN-000124,2024-03-05,2024,3,2024-03,CUST-02127,East,Office Supplies,Folders,9,6.51,0.0945,53.05,49.44,3.61,0.068,Upi,Online,No
TXN-000125,2025-02-18,2025,2,2025-02,CUST-02105,South,Electronics,Headphones,14,97.8,0.1998,1095.63,798.96,296.67,0.2708,Upi,Online,No
TXN-000126,2024-05-30,2024,5,2024-05,UNKNOWN,North,Office Supplies,Paper Pack,7,11.14,0.0657,72.86,64.92,7.94,0.109,Credit Card,Online,No
TXN-000127,2023-03-14,2023,3,2023-03,CUST-00044,South,Electronics,Monitor,3,248.53,0.0869,680.8,557.24,123.56,0.1815,Debit Card,Marketplace,No
TXN-000128,2024-11-28,2024,11,2024-11,UNKNOWN,West,Electronics,Tablet,8,445.65,0.0675,3324.55,2996.67,327.88,0.0986,Cash,Store,No
TXN-000129,2024-06-08,2024,6,2024-06,CUST-02222,South,Furniture,Cabinet,12,253.95,0.1127,2703.96,2349.71,354.25,0.131,Bank Transfer,Store,Yes
TXN-000130,2024-08-01,2024,8,2024-08,CUST-01242,South,Furniture,Bookshelf,3,134.72,0.0699,375.91,246.97,128.94,0.343,Debit Card,Marketplace,No
TXN-000131,2024-05-30,2024,5,2024-05,CUST-00072,East,Furniture,Conference Table,11,673.32,0.2049,5888.92,5783.01,105.91,0.018,Bank Transfer,Store,No
TXN-000132,2024-05-19,2024,5,2024-05,CUST-01729,West,Office Supplies,Paper Pack,8,11.25,0.0789,82.9,53.49,29.41,0.3548,Upi,Store,No
TXN-000133,2023-03-24,2023,3,2023-03,CUST-01958,East,Furniture,Cabinet,12,242.31,0.0746,2690.8,2030.75,660.05,0.2453,Cash,Online,No
TXN-000134,2024-05-24,2024,5,2024-05,CUST-02068,West,Office Supplies,Folders,5,7.34,0.0764,33.9,22.05,11.85,0.3496,Bank Transfer,Online,No
TXN-000135,2024-12-25,2024,12,2024-12,CUST-01828,North,Furniture,Cabinet,12,200.75,0.018,2365.64,1855.98,509.66,0.2154,Upi,Marketplace,No
TXN-000136,2023-10-05,2023,10,2023-10,CUST-02187,West,Office Supplies,Paper Pack,3,12.48,0.0735,34.69,25.06,9.63,0.2776,Cash,Marketplace,No
TXN-000137,2024-07-03,2024,7,2024-07,CUST-01276,South,Office Supplies,Pens,8,3.9,0.1294,27.16,26.77,0.39,0.0144,Debit Card,Online,No
TXN-000138,2023-01-29,2023,1,2023-01,CUST-00407,North,Electronics,Tablet,8,435.03,0.0945,3151.36,2685.94,465.42,0.1477,Upi,Online,No
TXN-000139,2023-11-13,2023,11,2023-11,CUST-01724,West,Office Supplies,Paper Pack,4,11.41,0.1089,40.67,38.46,2.21,0.0543,Debit Card,Marketplace,No
TXN-000140,2024-02-03,2024,2,2024-02,CUST-00542,North,Office Supplies,Notebook,2,6.41,0.0492,12.19,10.96,1.23,0.1009,Debit Card,Online,No
TXN-000141,2025-06-15,2025,6,2025-06,CUST-01575,North,Electronics,Laptop,14,798.74,0.1846,9118.1,9055.5,62.6,0.0069,Upi,Store,No
TXN-000142,2023-07-15,2023,7,2023-07,CUST-00376,East,Office Supplies,Stapler,6,9.25,0.0178,54.51,41.77,12.74,0.2337,Cash,Online,No
TXN-000143,2023-09-10,2023,9,2023-09,CUST-00099,South,Office Supplies,Paper Pack,13,13.3,0.1552,146.07,127.61,18.46,0.1264,Upi,Online,No
TXN-000144,2024-01-08,2024,1,2024-01,CUST-01114,North,Electronics,Headphones,5,98.08,0.35,318.76,349.18,-30.42,-0.0954,Debit Card,Online,No
TXN-000145,2025-06-24,2025,6,2025-06,CUST-01481,East,Accessories,USB Hub,10,39.12,0.0809,359.55,247.53,112.02,0.3116,Upi,Store,No
TXN-000146,2025-02-17,2025,2,2025-02,CUST-00388,West,Furniture,Bookshelf,8,144.08,0.186,938.25,906.32,31.93,0.034,Credit Card,Online,No
TXN-000147,2023-02-01,2023,2,2023-02,CUST-01963,West,Office Supplies,Paper Pack,6,11.45,0.0694,63.93,44.13,19.8,0.3097,Credit Card,Store,No
TXN-000148,2023-08-02,2023,8,2023-08,CUST-01628,North,Accessories,Desk Lamp,7,46.24,0.2254,250.72,209.67,41.05,0.1637,Cash,Marketplace,No
TXN-000149,2025-01-19,2025,1,2025-01,CUST-02002,East,Accessories,Mouse,4,24.25,0.1736,80.16,74.26,5.9,0.0736,Debit Card,Store,No
TXN-000150,2023-02-23,2023,2,2023-02,CUST-00908,West,Office Supplies,Paper Pack,2,13.08,0.1462,22.34,18.85,3.49,0.1562,Credit Card,Online,No
TXN-000151,2025-02-19,2025,2,2025-02,CUST-01649,North,Electronics,Stapler,10,7.99,0.2641,58.8,63.98,-5.18,-0.0881,Debit Card,Marketplace,No
TXN-000152,2023-09-14,2023,9,2023-09,CUST-02411,North,Electronics,Printer,4,224.49,0.3184,612.05,606.25,5.8,0.0095,Credit Card,Online,No
TXN-000153,2025-04-16,2025,4,2025-04,CUST-00456,North,Electronics,Tablet,8,460.59,0.089,3356.78,2728.05,628.73,0.1873,Debit Card,Store,No
TXN-000154,2023-09-25,2023,9,2023-09,CUST-02042,East,Accessories,USB Hub,8,36.02,0.119,253.87,181.37,72.5,0.2856,Debit Card,Store,No
TXN-000155,2024-02-01,2024,2,2024-02,CUST-01573,North,Furniture,Desk,14,343.37,0.0185,4718.25,3712.76,1005.49,0.2131,Cash,Marketplace,No
TXN-000156,2024-08-26,2024,8,2024-08,CUST-01811,East,Accessories,Desk Lamp,12,42.66,0.0841,468.87,360.87,108.0,0.2303,Credit Card,Online,No
TXN-000157,2023-04-26,2023,4,2023-04,CUST-01565,West,Electronics,Tablet,3,392.06,0.2388,895.31,654.12,241.19,0.2694,Upi,Online,No
TXN-000158,2024-05-23,2024,5,2024-05,CUST-01722,North,Electronics,Headphones,1,97.68,0.1681,81.26,77.55,3.71,0.0457,Cash,Marketplace,No
TXN-000159,2024-04-05,2024,4,2024-04,CUST-01950,East,Electronics,Laptop,14,800.89,0.0891,10213.43,6738.43,3475.0,0.3402,Cash,Online,No
TXN-000160,2024-12-15,2024,12,2024-12,CUST-00100,North,Furniture,Bookshelf,2,153.61,0.35,199.69,192.91,6.78,0.034,Bank Transfer,Marketplace,No
TXN-000161,2025-06-27,2025,6,2025-06,CUST-00080,North,Electronics,Headphones,11,97.29,0.0891,974.84,844.62,130.22,0.1336,Debit Card,Online,No
TXN-000162,2024-08-28,2024,8,2024-08,CUST-00210,West,Furniture,Bookshelf,12,149.19,0.1582,1507.06,1109.27,397.79,0.264,Cash,Store,No
TXN-000163,2024-01-09,2024,1,2024-01,CUST-02324,South,Accessories,Desk Lamp,13,94.29,0.147,1045.58,390.46,655.12,0.6266,Cash,Online,No
TXN-000164,2024-01-06,2024,1,2024-01,CUST-01081,West,Office Supplies,Folders,5,6.3,0.1247,27.57,20.2,7.37,0.2673,Bank Transfer,Store,No
TXN-000165,2024-01-17,2024,1,2024-01,CUST-02479,East,Office Supplies,Notebook,5,7.94,0.1287,34.59,23.99,10.6,0.3064,Bank Transfer,Online,No
